,point_differential,home_offensive_efficiency,away_offensive_efficiency,home_defensive_efficiency,away_defensive_efficiency
136,17,98.80887926367082,75.67567567567568,75.79859231185708,98.64864864864865
137,-20,79.34298440979956,104.2795232936078,107.1826280623608,77.19393282773565
138,32,122.72476558190843,78.90365448504983,78.59900717043574,123.20044296788484
139,22,122.32415902140671,80.02207505518764,88.68501529051987,110.37527593818983
141,-1,92.42144177449167,90.93619558735838,93.96179913739986,89.44543828264759
144,5,91.74311926605505,85.85340850845719,85.37206931702343,92.26037929267041
146,2,95.44159544159544,86.71291355389542,92.5925925925926,89.38100320170759
147,27,110.85844229675952,69.93965990126165,72.484366117112,106.96653867251781
148,-1,108.35509138381201,113.69788846778562,109.66057441253265,112.34434217650244
150,19,108.8252832438879,78.57974388824215,80.50089445438283,106.22817229336438
153,28,116.61341853035142,71.51938970120788,71.8849840255591,116.02034329307057
156,34,116.24569460390354,69.69157769869514,67.451205510907,120.10676156583631
157,13,114.46220930232558,81.59268929503916,90.84302325581396,102.80678851174933
158,10,122.40553485896754,104.21962379257752,109.1005854177754,116.92933401118452
163,15,102.98661174047372,93.87637203928367,83.67662203913491,115.54015020219528
164,10,110.78483715963694,96.97130712008502,97.43726641751202,110.25504782146653
165,-10,111.48442272449601,130.2573760200879,126.75626145387903,114.56371625863152
170,-16,75.61132561132563,106.06060606060606,101.35135135135135,79.12457912457913
177,14,110.97410604192355,91.71410499683745,89.39580764488286,113.85199240986717
178,-6,94.31306306306305,103.92938496583145,102.759009009009,95.38724373576311
179,15,99.62049335863378,72.15874924834637,75.90132827324479,94.7083583884546
181,39,127.30833799664241,76.96862048549437,72.74762171236709,134.69508584961517
182,37,132.02247191011236,80.37225042301183,80.0561797752809,132.54371122391427
186,2,108.45588235294117,105.01105379513633,104.77941176470588,108.69565217391303
187,17,124.28571428571429,101.15606936416184,100.0,125.72254335260115
188,31,111.86770428015565,60.58673469387755,61.608300907911804,110.01275510204083
189,22,122.01885745978925,91.61576901721266,91.51414309484193,122.15435868961686
193,30,132.14670981661274,89.19202518363065,91.69363538295578,128.54144805876183
196,28,119.4267515923567,75.3688261706222,74.8407643312102,120.26940346375883
197,22,111.55606407322654,83.83233532934132,80.09153318077803,116.76646706586826
198,11,95.7207207207207,79.69798657718121,80.23648648648648,95.07829977628636
199,26,114.74469305794608,82.87292817679558,77.4526678141136,122.77470841006752
201,-12,95.28423772609818,114.51612903225808,114.66408268733849,95.16129032258065
204,-11,86.6089273817455,106.56292286874154,104.93004663557628,87.95669824086603
205,7,109.36537276648181,98.58287122612445,98.58287122612445,109.36537276648181
208,8,99.66311061201573,85.13513513513513,88.43346434587312,95.94594594594594
210,6,102.5418833044483,91.85980780101751,93.87637203928367,100.33917467495759
212,19,114.87964989059081,91.24087591240877,88.89496717724288,117.91128579449747
214,33,117.42217367558712,72.5629791894852,72.36482796286184,117.74370208105147
215,3,90.09009009009009,82.70911360799002,85.26383526383526,87.39076154806492
217,-3,98.09750297265161,107.94743429286609,102.55648038049941,103.2540675844806
218,9,97.97917942437233,82.08955223880598,84.20085731781998,95.52238805970148
221,18,91.67184586699814,61.377245508982035,63.70416407706651,88.32335329341318
226,7,97.2313777191826,92.39516702203268,85.69545154911009,104.83297796730633
227,12,103.67990654205607,83.99772209567199,86.15654205607476,101.08200455580867
228,11,110.68943706514864,90.5463474524248,93.2953826691967,107.4278698588091
